scaled_features,Department_index,JobRole_index,Gender_index,OverTime_index,left_company
"[0.23809523809523808,0.12806740389678778,0.6666666666666666,0.0,0.3333333333333333,0.05]",0,2,0,1,1
"[0.6190476190476191,0.2340705634544497,0.0,1.0,0.3333333333333333,0.1]",1,0,1,1,0
"[0.40476190476190477,0.4673512374934176,0.0,0.0,0.6666666666666666,0.1]",0,4,0,1,0
"[0.19047619047619047,0.16577145866245394,1.0,0.0,0.3333333333333333,0.05]",1,0,1,1,0
"[0.3571428571428571,0.6555555555555556,1.0,0.0,0.6666666666666666,0.375]",0,7,1,1,0
"[0.40476190476190477,0.4244339125855714,0.0,1.0,0.3333333333333333,0.225]",1,0,0,0,0
"[0.40476190476190477,0.1582411795681938,0.0,0.0,0.6666666666666666,0.05]",0,2,1,1,0
"[0.30952380952380953,0.25834649815692473,1.0,1.0,0.3333333333333333,0.17500000000000002]",0,2,0,0,0
"[0.45238095238095233,0.26245392311743027,0.6666666666666666,0.0,1.0,0.17500000000000002]",0,3,0,0,0
"[0.3333333333333333,0.2713533438651922,1.0,1.0,0.6666666666666666,0.225]",0,3,0,1,0
"[0.47619047619047616,0.07356503422854134,1.0,0.0,0.6666666666666666,0.25]",0,2,1,0,0
"[0.7619047619047619,0.9337019483938915,0.6666666666666666,0.0,0.3333333333333333,0.675]",0,7,1,1,0
"[0.9761904761904762,0.3490258030542391,0.0,0.0,0.3333333333333333,0.525]",1,0,1,0,0
"[0.42857142857142855,0.4785150078988942,0.6666666666666666,0.0,0.6666666666666666,0.42500000000000004]",0,4,1,0,0
"[0.8809523809523809,0.7239073196419168,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,5,1,1,0
"[0.42857142857142855,0.2890995260663507,0.3333333333333333,0.0,0.6666666666666666,0.15000000000000002]",0,3,0,0,0
"[0.6428571428571428,0.4589257503949447,0.0,0.0,0.6666666666666666,0.025]",0,1,0,0,0
"[0.40476190476190477,0.062401263823064775,0.0,0.0,0.3333333333333333,0.07500000000000001]",0,1,0,0,0
"[0.42857142857142855,0.12527646129541864,0.6666666666666666,0.0,0.3333333333333333,0.025]",0,1,0,1,1
"[0.9761904761904762,0.23507109004739338,0.6666666666666666,0.0,0.3333333333333333,0.1]",1,0,1,0,0
"[0.26190476190476186,0.08920484465508162,0.3333333333333333,1.0,0.6666666666666666,0.125]",0,1,0,0,0
"[0.30952380952380953,0.07856766719325961,0.3333333333333333,0.0,0.6666666666666666,0.025]",0,1,0,0,0
"[0.3333333333333333,0.27440758293838863,0.3333333333333333,0.0,0.6666666666666666,0.25]",0,1,0,0,0
"[0.42857142857142855,0.10684570826750922,1.0,0.0,0.6666666666666666,0.025]",0,2,1,0,0
"[0.30952380952380953,0.17983149025803055,1.0,1.0,0.6666666666666666,0.275]",0,3,1,0,0
"[0.40476190476190477,0.17393364928909955,0.0,0.0,0.6666666666666666,0.375]",1,0,0,0,0
"[0.6428571428571428,0.6443391258557135,0.0,0.0,1.0,0.0]",0,7,0,1,0
"[0.45238095238095233,0.6664033701948394,0.6666666666666666,0.0,1.0,0.125]",0,7,0,0,0
"[0.6666666666666666,0.2112690889942075,0.3333333333333333,1.0,0.6666666666666666,0.1]",2,8,0,1,0
"[0.2857142857142857,0.2167983149025803,1.0,0.0,0.3333333333333333,0.25]",0,2,0,1,0
"[0.40476190476190477,0.09741969457609269,0.6666666666666666,0.0,0.6666666666666666,0.15000000000000002]",0,1,0,0,0
"[0.8809523809523809,0.4860452869931543,1.0,0.0,0.6666666666666666,0.025]",1,0,0,0,0
"[0.47619047619047616,0.2274881516587678,1.0,0.0,0.6666666666666666,0.325]",0,1,1,1,0
"[0.38095238095238093,0.17461822011585046,0.3333333333333333,0.0,0.6666666666666666,0.125]",0,3,0,0,0
"[0.9047619047619047,0.32917324907846235,1.0,0.0,0.3333333333333333,0.15000000000000002]",0,3,0,0,0
"[0.11904761904761904,0.06914165350184308,0.0,0.0,0.6666666666666666,0.0]",1,6,0,0,0
"[0.7857142857142857,0.05613480779357557,1.0,1.0,0.6666666666666666,0.1]",0,2,0,0,0
"[0.2857142857142857,0.16550816219062664,1.0,0.0,0.6666666666666666,0.275]",0,4,0,0,0
"[0.6666666666666666,0.4533965244865719,1.0,0.0,0.6666666666666666,0.225]",1,0,0,0,1
"[0.5238095238095237,0.6579252238020011,0.3333333333333333,1.0,0.3333333333333333,0.55]",0,4,0,0,0
"[0.7857142857142857,0.2333859926276988,1.0,1.0,0.0,0.25]",1,0,0,1,0
"[0.2857142857142857,0.2211690363349131,0.3333333333333333,0.0,0.3333333333333333,0.275]",1,0,1,1,0
"[0.6666666666666666,0.508899420747762,0.0,0.0,0.3333333333333333,0.25]",0,4,0,1,0
"[0.3333333333333333,0.21068983675618747,0.6666666666666666,0.0,0.6666666666666666,0.275]",1,0,0,0,0
"[0.8571428571428571,0.6603475513428121,0.6666666666666666,0.0,0.0,0.1]",0,7,1,0,0
"[0.14285714285714285,0.21011058451816747,0.6666666666666666,1.0,0.3333333333333333,0.07500000000000001]",1,0,1,0,0
"[0.23809523809523808,0.16914165350184307,0.6666666666666666,0.0,1.0,0.125]",1,0,0,0,0
"[0.9523809523809523,0.6773565034228541,0.6666666666666666,0.0,0.3333333333333333,0.925]",1,0,0,0,0
"[0.6190476190476191,0.054397051079515535,0.3333333333333333,0.0,1.0,0.07500000000000001]",0,2,0,0,0
"[0.45238095238095233,0.05602948920484466,0.0,1.0,0.6666666666666666,0.07500000000000001]",2,8,0,1,1
"[0.3333333333333333,0.10252764612954186,0.0,0.0,0.6666666666666666,0.025]",0,1,0,0,0
"[0.047619047619047616,0.1009478672985782,1.0,0.0,0.6666666666666666,0.025]",0,2,1,1,1
"[0.38095238095238093,0.20010531858873093,0.6666666666666666,0.0,0.6666666666666666,0.4]",0,1,1,0,0
"[0.45238095238095233,0.21874670879410216,1.0,0.0,1.0,0.025]",0,4,0,0,0
"[0.9761904761904762,0.939178515007899,1.0,1.0,0.6666666666666666,0.07500000000000001]",2,5,1,0,0
"[0.7619047619047619,0.9037914691943129,0.3333333333333333,0.0,0.3333333333333333,0.2]",0,7,1,1,0
"[0.16666666666666666,0.24934175882043183,0.6666666666666666,0.0,0.6666666666666666,0.15000000000000002]",1,0,0,1,1
"[0.16666666666666666,0.09899947340705635,1.0,0.0,0.6666666666666666,0.05]",0,1,0,0,0
"[0.09523809523809523,0.09805160610847816,1.0,0.0,0.6666666666666666,0.0]",0,2,1,0,0
"[0.7857142857142857,0.3409689310163244,0.0,1.0,0.3333333333333333,0.325]",0,4,1,0,0
"[0.38095238095238093,0.26671932596103215,0.6666666666666666,1.0,0.6666666666666666,0.225]",0,2,0,1,1
"[0.8571428571428571,0.8593470247498683,1.0,0.0,0.6666666666666666,0.125]",2,5,1,1,0
"[0.14285714285714285,0.09294365455502897,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,2,0,0,0
"[0.38095238095238093,0.18409689310163244,0.3333333333333333,0.0,0.6666666666666666,0.025]",0,1,1,0,0
"[0.45238095238095233,0.33802001053185887,1.0,0.0,0.6666666666666666,0.125]",1,0,0,0,0
"[0.38095238095238093,0.5593470247498684,0.0,0.0,0.6666666666666666,0.275]",0,5,1,0,0
"[0.42857142857142855,0.4596629805160611,1.0,0.0,0.6666666666666666,0.225]",1,0,1,0,0
"[0.42857142857142855,0.09615587151132175,1.0,1.0,0.6666666666666666,0.025]",0,2,1,0,0
"[0.5952380952380952,0.8399157451290153,1.0,0.0,1.0,0.625]",1,5,0,1,0
"[0.2857142857142857,0.08446550816219063,0.6666666666666666,1.0,0.3333333333333333,0.25]",0,1,0,0,0
"[0.3571428571428571,0.27051079515534493,0.3333333333333333,0.0,1.0,0.17500000000000002]",1,0,0,0,0
"[0.9047619047619047,0.20821484992101108,0.3333333333333333,0.0,0.6666666666666666,0.125]",0,1,1,1,1
"[0.7857142857142857,0.9756714060031596,0.6666666666666666,0.0,0.6666666666666666,0.5]",0,7,0,0,0
"[0.30952380952380953,0.27187993680884676,0.6666666666666666,0.0,0.3333333333333333,0.17500000000000002]",1,0,0,1,1
"[0.19047619047619047,0.07156398104265403,0.3333333333333333,0.0,0.3333333333333333,0.125]",0,1,1,0,0
"[0.9523809523809523,0.48988941548183257,1.0,0.0,0.3333333333333333,1.0]",0,4,1,0,1
"[0.023809523809523808,0.035071090047393366,0.6666666666666666,0.0,0.3333333333333333,0.0]",1,6,0,1,1
"[0.09523809523809523,0.07972617166929963,1.0,0.0,0.6666666666666666,0.05]",0,2,0,0,0
"[0.738095238095238,0.2926803580832017,0.0,0.0,0.3333333333333333,0.375]",0,3,1,0,0
"[0.5952380952380952,0.19641916798314904,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",0,1,1,0,0
"[0.7619047619047619,0.4317535545023697,1.0,0.0,0.6666666666666666,0.05]",1,0,1,0,0
"[0.30952380952380953,0.18694049499736703,0.6666666666666666,0.0,0.6666666666666666,0.05]",1,0,1,1,1
"[0.5476190476190476,0.3780937335439705,0.6666666666666666,0.0,0.6666666666666666,0.225]",1,0,0,1,0
"[0.19047619047619047,0.10179041600842549,0.6666666666666666,1.0,0.6666666666666666,0.2]",2,8,1,0,0
"[0.42857142857142855,0.20705634544497103,0.3333333333333333,1.0,0.6666666666666666,0.07500000000000001]",0,3,0,0,0
"[0.7857142857142857,0.5076882569773565,1.0,0.0,0.6666666666666666,0.1]",0,3,0,0,1
"[0.5,0.2576619273301738,0.6666666666666666,0.0,1.0,0.375]",1,0,1,0,0
"[0.16666666666666666,0.4017904160084255,0.6666666666666666,0.0,0.6666666666666666,0.05]",1,0,0,0,0
"[0.2857142857142857,0.28109531332280147,1.0,0.0,0.0,0.275]",2,8,0,1,0
"[0.3333333333333333,0.1680358083201685,0.0,1.0,1.0,0.125]",0,2,1,0,1
"[0.6428571428571428,0.1286466561348078,1.0,0.0,0.3333333333333333,0.15000000000000002]",0,1,0,0,0
"[0.47619047619047616,0.1741969457609268,0.6666666666666666,1.0,0.6666666666666666,0.07500000000000001]",0,1,1,1,0
"[0.2857142857142857,0.08546603475513428,0.6666666666666666,0.0,0.3333333333333333,0.125]",0,1,1,0,0
"[0.3333333333333333,0.1926803580832017,1.0,0.0,1.0,0.2]",1,0,0,0,0
"[0.2857142857142857,0.11558715113217484,0.0,0.0,0.6666666666666666,0.07500000000000001]",0,1,1,0,0
"[0.2857142857142857,0.09010005265929437,1.0,0.0,0.6666666666666666,0.125]",0,2,0,0,0
"[0.5476190476190476,0.8516061084781464,0.0,0.0,0.3333333333333333,0.17500000000000002]",0,5,0,0,0
"[0.5476190476190476,0.06471827277514482,0.0,1.0,0.6666666666666666,0.125]",0,2,0,0,0
"[0.023809523809523808,0.02496050552922591,0.3333333333333333,0.0,0.6666666666666666,0.025]",0,2,1,0,0
"[0.5238095238095237,0.2420221169036335,0.3333333333333333,0.0,0.6666666666666666,0.5]",0,1,1,0,0
"[0.40476190476190477,0.3310163243812533,0.3333333333333333,0.0,0.6666666666666666,0.25]",1,0,0,0,0
"[0.8333333333333333,0.06829910479199579,0.6666666666666666,1.0,0.0,0.17500000000000002]",1,6,0,1,0
"[0.6428571428571428,0.07051079515534492,0.3333333333333333,0.0,0.0,0.42500000000000004]",0,2,0,0,0
"[0.3333333333333333,0.42069510268562404,1.0,0.0,0.6666666666666666,0.225]",1,0,1,0,0
"[0.26190476190476186,0.17430226434965773,0.6666666666666666,0.0,0.6666666666666666,0.25]",0,3,0,0,0
"[0.7857142857142857,0.26977356503422856,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,3,0,0,0
"[0.9523809523809523,0.12306477093206952,0.3333333333333333,1.0,0.3333333333333333,0.025]",0,1,1,1,0
"[0.5238095238095237,0.5184834123222749,1.0,0.0,0.3333333333333333,0.30000000000000004]",1,0,0,0,0
"[0.38095238095238093,0.06434965771458663,0.6666666666666666,0.0,0.6666666666666666,0.1]",1,6,1,0,0
"[0.09523809523809523,0.06919431279620854,1.0,1.0,0.6666666666666666,0.05]",0,1,0,0,0
"[0.21428571428571427,0.05344918378093734,0.3333333333333333,0.0,0.0,0.05]",0,1,0,0,0
"[0.23809523809523808,0.08973143759873618,1.0,0.0,0.0,0.125]",0,1,0,0,0
"[0.9285714285714285,0.4439178515007899,1.0,0.0,0.0,0.125]",0,4,0,1,0
"[0.21428571428571427,0.08199052132701422,0.6666666666666666,0.0,0.3333333333333333,0.025]",0,1,0,1,0
"[0.7619047619047619,0.9961558715113218,0.3333333333333333,0.0,0.6666666666666666,0.125]",0,5,1,0,0
"[0.5476190476190476,0.07593470247498683,0.6666666666666666,0.0,0.6666666666666666,0.225]",0,1,0,0,0
"[0.2857142857142857,0.4428646656134808,1.0,0.0,0.6666666666666666,0.25]",1,0,1,0,0
"[0.47619047619047616,0.4042654028436019,1.0,1.0,1.0,0.2]",1,0,1,0,0
"[0.3333333333333333,0.10684570826750922,0.6666666666666666,1.0,0.6666666666666666,0.125]",0,1,0,0,0
"[0.21428571428571427,0.10789889415481833,0.3333333333333333,0.0,0.3333333333333333,0.125]",0,1,0,1,0
"[0.023809523809523808,0.06929963138493944,0.0,1.0,1.0,0.0]",1,6,1,0,1
"[0.42857142857142855,0.05681937862032649,0.3333333333333333,0.0,0.3333333333333333,0.2]",0,2,0,0,0
"[0.2857142857142857,0.1086361242759347,0.0,0.0,0.6666666666666666,0.30000000000000004]",0,2,0,0,0
"[0.6428571428571428,0.21047919957872566,0.0,0.0,1.0,0.125]",1,0,1,1,0
"[0.9047619047619047,0.1710373880989995,0.0,0.0,0.6666666666666666,0.05]",0,1,1,1,0
"[0.3571428571428571,0.07851500789889417,1.0,0.0,1.0,0.07500000000000001]",0,1,0,0,0
"[0.023809523809523808,0.004897314375987362,1.0,1.0,0.3333333333333333,0.025]",0,2,0,0,1
"[0.6666666666666666,0.4973143759873618,0.0,1.0,0.6666666666666666,0.6000000000000001]",1,0,1,0,0
"[0.47619047619047616,0.06735123749341759,1.0,0.0,0.6666666666666666,0.05]",0,2,1,0,0
"[0.30952380952380953,0.1537651395471301,1.0,1.0,0.6666666666666666,0.1]",0,1,1,1,0
"[0.38095238095238093,0.06856240126382307,0.3333333333333333,0.0,0.6666666666666666,0.07500000000000001]",0,1,1,0,0
"[0.5476190476190476,0.11221695629278568,0.3333333333333333,1.0,0.3333333333333333,0.1]",1,6,1,1,1
"[0.7619047619047619,0.14117956819378621,0.6666666666666666,0.0,0.3333333333333333,0.07500000000000001]",0,2,0,0,0
"[0.8333333333333333,0.1812006319115324,0.0,0.0,0.6666666666666666,0.1]",0,3,1,0,0
"[0.3571428571428571,0.09199578725645077,0.3333333333333333,0.0,0.6666666666666666,0.2]",0,1,1,0,0
"[0.5238095238095237,0.94913112164297,0.6666666666666666,0.0,0.6666666666666666,0.5]",0,5,1,0,0
"[0.8809523809523809,0.9327540810953133,0.3333333333333333,0.0,0.6666666666666666,0.6000000000000001]",0,7,0,0,0
"[0.38095238095238093,0.4496050552922591,0.6666666666666666,0.0,0.3333333333333333,0.25]",0,3,0,0,0
"[0.7857142857142857,0.6700895208004213,0.3333333333333333,0.0,0.6666666666666666,0.17500000000000002]",0,4,1,0,0
"[0.8095238095238095,1.0,0.6666666666666666,0.0,0.6666666666666666,0.8250000000000001]",0,5,0,0,0
"[0.21428571428571427,0.06687730384412849,0.3333333333333333,0.0,0.3333333333333333,0.17500000000000002]",0,1,1,0,0
"[0.40476190476190477,0.25839915745129016,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,3,0,1,1
"[0.5952380952380952,0.05687203791469195,1.0,0.0,1.0,0.125]",0,1,0,0,0
"[0.6428571428571428,0.8311216429699843,1.0,1.0,0.6666666666666666,0.5]",0,5,0,0,0
"[0.45238095238095233,0.1345444971037388,0.0,0.0,0.3333333333333333,0.2]",0,1,0,1,0
"[0.40476190476190477,0.179884149552396,0.3333333333333333,0.0,0.6666666666666666,0.15000000000000002]",0,2,1,0,0
"[0.5714285714285714,0.22411795681937863,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,3,1,0,0
"[0.47619047619047616,0.2919431279620853,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,3,0,0,0
"[0.47619047619047616,0.2765666140073723,1.0,0.0,0.0,0.17500000000000002]",0,3,0,0,0
"[0.21428571428571427,0.17319641916798315,0.0,0.0,0.6666666666666666,0.05]",0,3,0,0,0
"[0.738095238095238,0.30516061084781465,1.0,0.0,0.6666666666666666,0.17500000000000002]",0,3,0,1,0
"[0.38095238095238093,0.14776197998946813,0.6666666666666666,0.0,1.0,0.125]",0,1,0,1,0
"[0.5238095238095237,0.09120589784096894,1.0,0.0,1.0,0.17500000000000002]",0,2,0,1,0
"[0.47619047619047616,0.29826224328594,0.0,0.0,0.6666666666666666,0.025]",0,4,0,1,1
"[0.26190476190476186,0.34913112164297,1.0,1.0,0.3333333333333333,0.25]",1,0,1,0,1
"[0.09523809523809523,0.0694576092680358,0.3333333333333333,0.0,0.3333333333333333,0.1]",0,1,0,1,0
"[0.42857142857142855,0.060242232754081096,1.0,0.0,0.6666666666666666,0.2]",0,2,1,0,0
"[0.5238095238095237,0.20363349131121644,1.0,0.0,0.0,0.07500000000000001]",0,4,0,0,0
"[0.6666666666666666,0.44165350184307534,0.0,0.0,0.6666666666666666,0.1]",0,4,0,0,0
"[0.3333333333333333,0.49452343338599264,1.0,0.0,0.3333333333333333,0.35000000000000003]",1,0,0,0,1
"[0.2857142857142857,0.39310163243812535,0.6666666666666666,1.0,0.6666666666666666,0.275]",0,3,0,0,0
"[0.21428571428571427,0.4724591890468668,0.6666666666666666,0.0,0.6666666666666666,0.17500000000000002]",1,0,1,0,0
"[0.7857142857142857,0.6045813586097947,0.3333333333333333,0.0,0.0,0.25]",0,7,0,0,0
"[0.2857142857142857,0.08678251711427067,0.0,0.0,0.6666666666666666,0.125]",0,1,1,1,1
"[0.5476190476190476,0.6625592417061612,1.0,0.0,0.6666666666666666,0.025]",1,5,1,1,0
"[0.2857142857142857,0.29947340705634545,0.0,0.0,0.3333333333333333,0.15000000000000002]",1,0,1,0,1
"[0.26190476190476186,0.055239599789362825,0.6666666666666666,0.0,0.3333333333333333,0.15000000000000002]",0,1,0,0,1
"[0.6428571428571428,0.41369141653501845,1.0,0.0,0.6666666666666666,0.47500000000000003]",1,0,1,0,0
"[0.8571428571428571,0.25966298051606107,0.0,0.0,0.6666666666666666,0.15000000000000002]",1,0,1,0,0
"[0.42857142857142855,0.25829383886255924,0.3333333333333333,0.0,1.0,0.325]",0,2,0,0,0
"[0.3571428571428571,0.08493944181147974,0.3333333333333333,1.0,0.6666666666666666,0.07500000000000001]",0,1,1,0,0
"[0.45238095238095233,0.5885202738283307,1.0,0.0,0.6666666666666666,0.25]",0,7,0,1,0
"[0.47619047619047616,0.5055292259083729,0.6666666666666666,0.0,0.3333333333333333,0.4]",1,0,0,0,0
"[0.30952380952380953,0.17567140600315956,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,3,0,0,0
"[0.9761904761904762,0.06150605581885203,1.0,0.0,0.6666666666666666,0.025]",0,1,0,0,0
"[0.45238095238095233,0.09394418114797262,1.0,0.0,0.6666666666666666,0.225]",1,6,0,0,0
"[0.26190476190476186,0.36382306477093207,1.0,0.0,0.6666666666666666,0.275]",1,0,1,0,0
"[0.40476190476190477,0.40968931016324384,0.6666666666666666,0.0,1.0,0.25]",1,0,1,0,0
"[0.26190476190476186,0.0726698262243286,1.0,0.0,0.3333333333333333,0.1]",0,1,0,1,1
"[0.8095238095238095,0.11600842548709848,1.0,0.0,0.3333333333333333,0.05]",0,2,1,0,0
"[0.5714285714285714,0.9596103212216957,1.0,0.0,0.6666666666666666,0.55]",0,5,0,0,0
"[0.9761904761904762,0.06624539231174302,0.6666666666666666,0.0,0.3333333333333333,0.05]",2,8,0,0,0
"[0.7619047619047619,0.9746182201158505,1.0,0.0,0.3333333333333333,0.17500000000000002]",1,5,1,0,0
"[0.3571428571428571,0.075144813059505,1.0,0.0,0.0,0.125]",0,2,0,1,1
"[0.5952380952380952,0.7927856766719327,1.0,1.0,0.6666666666666666,0.42500000000000004]",1,5,1,1,0
"[0.3571428571428571,0.08941548183254344,0.0,1.0,1.0,0.225]",0,2,1,0,1
"[0.8095238095238095,0.950974196945761,0.6666666666666666,0.0,1.0,0.8250000000000001]",1,5,0,1,0
"[0.3333333333333333,0.15387045813586098,0.3333333333333333,0.0,0.6666666666666666,0.1]",1,6,1,0,0
"[0.3333333333333333,0.14328593996840444,0.6666666666666666,0.0,0.0,0.07500000000000001]",0,2,0,1,1
"[0.5,0.06440231700895209,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",0,2,1,0,0
"[0.3333333333333333,0.18199052132701424,1.0,0.0,0.6666666666666666,0.07500000000000001]",1,0,0,0,0
"[0.5476190476190476,0.1086361242759347,0.0,0.0,0.3333333333333333,0.025]",0,1,0,0,0
"[0.5238095238095237,0.12164296998420222,1.0,0.0,0.6666666666666666,0.225]",0,1,0,0,0
"[0.6428571428571428,0.958030542390732,1.0,0.0,0.6666666666666666,0.6000000000000001]",0,5,0,0,0
"[0.30952380952380953,0.6669826224328594,0.6666666666666666,0.0,0.6666666666666666,0.05]",0,7,0,0,0
"[0.3571428571428571,0.10015797788309637,1.0,0.0,0.3333333333333333,0.05]",0,1,1,0,0
"[0.38095238095238093,0.26055818852027385,0.0,0.0,0.6666666666666666,0.275]",0,3,0,0,0
"[0.45238095238095233,0.15329120589784098,0.0,0.0,0.3333333333333333,0.07500000000000001]",0,1,1,0,0
"[0.6428571428571428,0.2856766719325961,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",0,3,0,0,0
"[0.45238095238095233,0.4759873617693523,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,3,0,0,1
"[0.5,0.5228541337546078,0.6666666666666666,1.0,0.6666666666666666,0.47500000000000003]",0,4,1,0,0
"[0.26190476190476186,0.07008952080042127,1.0,0.0,0.6666666666666666,0.15000000000000002]",0,1,0,0,0
"[0.5714285714285714,0.29152185360716165,0.0,0.0,0.6666666666666666,0.07500000000000001]",0,1,1,1,0
